State Code,Population
01,4874747.0
02,739795.0
04,7016270.0
05,3004279.0
06,39536653.0
08,5607154.0
09,3588184.0
10,961939.0
11,693972.0
12,20984400.0
13,10429379.0
15,1427538.0
16,1716943.0
17,12802023.0
18,6666818.0
19,3145711.0
20,2913123.0
21,4454189.0
22,4684333.0
23,1335907.0
24,6052177.0
25,6859819.0
26,9962311.0
27,5576606.0
28,2984100.0
29,6113532.0
30,1050493.0
31,1920076.0
32,2998039.0
33,1342795.0
34,9005644.0
35,2088070.0
36,19849399.0
37,10273419.0
38,755393.0
39,11658609.0
40,3930864.0
41,4142776.0
42,12805537.0
44,1059639.0
45,5024369.0
46,869666.0
47,6715984.0
48,28304596.0
49,3101833.0
50,623657.0
51,8470020.0
53,7405743.0
54,1815857.0
55,5795483.0
56,579315.0
72,3337177.0
